mmsi,vessel_code,vessel_name,imo,call_sign,l,w,draft,cargo,vessel_group
367182265,,,,,,,,,
367182624,,,,,,,,,
367189521,,,,,,,,,
367192350,,,,,,,,,
367193870,,CAPRICE,,WDD8001,,,,,
367204628,,,,,,,,,
367297728,,,,,,,,,
367299850,,,,,,,,,
367301352,,,,,,,,,
367305928,,,,,,,,,
367307820,,,,,,,,,
367309674,,,,,,,,,
367312058,,,,,,,,,
367312064,,,,,,,,,
367312150,,DART,,WDD9487,,,,,
367312280,,MINKE,,WDD9496,,,,,
367313192,,,,,,,,,
367320010,,,,,,,,,
367326010,,,,,,,,,
367326392,,,,,,,,,
367330502,,,,,,,,,
367331464,,,,,,,,,
367335858,,,,,,,,,
367343030,,,,,,,,,
367345160,,,,,,,,,
367359840,,HARMONY,,WDE4933,,9.14000034332275,,,
367363591,,,,,,,,,
