mmsi,vessel_code,vessel_name,imo,call_sign,l,w,draft,cargo,vessel_group
367363686,,,,,,,,,
367364336,,,,,,,,,
367364629,,,,,,,,,
367370470,,REBERTH,,WDE5700,,9.75,,,
367370960,,,,,,,,,
367377310,,SUSAN M,,WDE6203,,26.0,,,
367380272,,,,,,,,,
367384844,,,,,,,,,
367386310,,,,,,,,,
367389229,,,,,,,,,
367391709,,,,,,,,,
367392616,,,,,,,,,
367397340,,DOUBLE D,,WCZ2654,,,,,
367397482,,,,,,,,,
367398758,,,,,,,,,
367405480,,POLAR EXPRESS,,WDE8437,,14.630000114440902,,,
367411570,,BIG AL,,WDH5875,,9.75,,,
367412830,,,,,,,,,
367419372,,,,,,,,,
367425246,,,,,,,,,
367425960,,SEA VULTURE,,WDF2201,,,,,
367432020,,BULLWINKLE,,WDF2797,,9.75,,,
367436262,,,,,,,,,
